Time (s),Voltage (V),Current (A),Temp (C)
596.32,9.98,0.74,25.0
597.40,9.95,0.73,25.0
598.49,9.94,0.72,25.0
599.57,10.02,0.70,25.0
600.65,9.98,0.75,25.0
601.73,9.93,0.73,25.0
602.82,9.98,0.72,25.0
603.90,10.01,0.72,25.0
604.98,9.99,0.77,25.0
606.06,9.98,0.74,25.0
607.15,9.98,0.74,25.0
608.23,9.96,0.73,25.0
609.31,9.97,0.74,25.0
610.39,9.99,0.73,25.0
611.47,9.99,0.73,25.0
612.55,9.97,0.75,25.0
613.64,9.97,0.77,25.0
614.72,9.96,0.76,25.0
615.80,9.96,0.76,25.0
616.89,9.97,0.76,25.0
617.97,9.97,0.74,25.0
619.05,9.98,0.77,25.0
620.13,9.97,0.77,25.0
621.21,9.95,0.75,25.0
622.30,9.99,0.77,25.0
623.38,9.97,0.78,25.0
624.46,9.99,0.75,25.0
625.54,9.97,0.70,25.0
626.63,9.99,0.76,25.0
627.71,9.99,0.73,25.0
628.79,9.97,0.77,25.0
629.87,9.93,0.73,25.0
630.96,9.96,0.73,25.0
632.04,9.99,0.71,25.0
633.12,9.96,0.71,25.0
634.20,10.00,0.75,25.0
635.28,9.99,0.76,25.0
636.37,9.96,0.73,25.0
637.45,9.97,0.77,25.0
638.53,9.99,0.74,25.0
639.61,9.98,0.75,25.0
640.70,9.98,0.73,25.0
641.78,9.98,0.74,25.0
642.86,9.97,0.75,25.0
643.94,9.98,0.76,25.0
645.02,9.98,0.76,25.0
646.11,9.94,0.75,25.0
647.19,9.98,0.73,25.0
648.27,9.98,0.73,25.0
649.35,9.99,0.73,25.0
650.44,9.98,0.75,25.0
651.52,9.94,0.76,25.0
652.60,9.96,0.74,25.0
653.68,9.97,0.74,25.0
654.77,9.95,0.74,25.0
655.84,9.98,0.76,25.0
656.93,9.94,0.77,25.0
658.01,9.96,0.73,25.0
659.09,9.93,0.75,25.0
660.17,9.97,0.74,25.0
661.26,9.97,0.75,25.0
662.34,9.96,0.76,25.0
663.42,9.96,0.78,25.0
664.50,9.94,0.75,25.0
665.59,9.98,0.76,25.0
666.67,9.95,0.74,25.0
667.75,9.97,0.77,25.0
668.83,9.95,0.73,25.0
669.92,9.95,0.73,25.0
671.00,9.95,0.75,25.0
672.08,9.97,0.79,25.0
673.16,9.98,0.76,25.0
674.24,9.94,0.76,25.0
675.32,10.01,0.76,25.0
676.41,9.93,0.76,25.0
677.49,9.93,0.76,25.0
678.57,9.91,0.75,25.0
679.66,9.94,0.74,25.0
680.74,9.96,0.75,25.0
681.82,9.94,0.75,25.0
682.90,9.94,0.74,25.0
683.98,9.96,0.79,25.0
685.07,9.96,0.78,25.0
686.15,9.94,0.76,25.0
687.23,9.95,0.77,25.0
688.31,9.96,0.74,25.0
689.40,9.97,0.75,25.0
690.48,9.96,0.76,25.0
691.56,9.95,0.75,25.0
692.64,9.95,0.75,25.0
693.72,9.92,0.77,25.0
694.80,9.96,0.76,25.0
695.89,9.96,0.77,25.0
696.97,9.96,0.76,25.0
